number,name,type_1,type_2,abilities,hp,att,def,spa,spd,spe,bst,mean,standard_deviation,generation,experience_type,experience_to_level_100,final_evolution,catch_rate,legendary,mega_evolution,alolan_form,galarian_form,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy,height,weight,bmi,bmi_clipped,atk_def_ratio,offensive_power,defensive_power
144,articuno,ice,flying,"['pressure', 'snow cloak']",90,85,100,95,125,85,580,96.66666666666669,13.743685418725534,1.0,Slow,1250000,1.0,3,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,2.0,1.0,1.7,55.4,19.2,19.2,0.85,180,225
144,galarian_articuno,psychic,flying,['competitive'],90,85,85,125,100,95,580,96.66666666666669,13.743685418725534,8.0,Slow,1250000,1.0,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,2.0,0.25,1.0,0.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.7,50.9,17.6,17.6,1.0,210,185
145,zapdos,electric,flying,"['pressure', 'static']",90,90,85,125,90,100,580,96.66666666666669,13.437096247164249,1.0,Slow,1250000,1.0,3,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.6,52.6,20.5,20.5,1.0588235294117647,215,175
145,galarian_zapdos,fighting,flying,['defiant'],90,125,90,85,90,100,580,96.66666666666669,13.437096247164249,8.0,Slow,1250000,1.0,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,2.0,0.5,1.0,0.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,1.0,2.0,1.6,58.2,22.7,22.7,1.3888888888888888,210,180
146,moltres,fire,flying,"['flame body', 'pressure']",90,100,90,125,85,90,580,96.66666666666669,13.437096247164249,1.0,Slow,1250000,1.0,3,1.0,0.0,0.0,0.0,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5,2.0,60.0,15.0,15.0,1.1111111111111112,225,175
146,galarian_moltres,dark,flying,['berserk'],90,85,90,100,125,90,580,96.66666666666669,13.437096247164249,8.0,Slow,1250000,1.0,3,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,1.0,2.0,2.0,66.0,16.5,16.5,0.9444444444444444,185,215
147,dratini,dragon,none,"['marvel scale', 'shed skin']",41,64,45,50,50,50,300,50.0,7.094598884597588,1.0,Slow,1250000,0.0,45,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.8,3.3,1.0,1.0,1.4222222222222223,114,95
148,dragonair,dragon,none,"['marvel scale', 'shed skin']",61,84,65,70,70,70,420,70.0,7.094598884597588,1.0,Slow,1250000,0.0,45,0.0,0.0,0.0,0.0,1.0,0.5,0.5,0.5,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,16.5,1.0,1.0,1.2923076923076924,154,135
149,dragonite,dragon,flying,"['inner focus', 'multiscale']",91,134,95,100,100,80,600,100.0,16.64331697709324,1.0,Slow,1250000,1.0,45,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,0.25,4.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,2.2,210.0,43.4,43.4,1.4105263157894736,234,195
150,mewtwo,psychic,none,"['pressure', 'unnerve']",106,110,90,154,90,130,680,113.33333333333331,22.6764684689266,1.0,Slow,1250000,1.0,3,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,122.0,30.5,30.5,1.2222222222222223,264,180
150,mega_mewtwo_y,psychic,none,['insomnia'],106,150,70,194,120,140,780,130.0,38.453435043785966,6.0,Slow,1250000,1.0,3,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.5,33.0,14.7,14.7,2.142857142857143,344,190
150,mega_mewtwo_x,psychic,fighting,['steadfast'],106,190,100,154,100,130,780,130.0,33.04542328371661,6.0,Slow,1250000,1.0,3,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,2.0,2.3,127.0,24.0,24.0,1.9,344,200
151,mew,psychic,none,['synchronize'],100,100,100,100,100,100,600,100.0,0.0,1.0,Medium Slow,1059860,1.0,45,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.4,4.0,25.0,25.0,1.0,200,200
152,chikorita,grass,none,"['leaf guard', 'overgrow']",45,49,65,49,65,45,318,53.0,8.640987597877146,2.0,Medium Slow,1059860,0.0,45,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,6.4,7.9,7.9,0.7538461538461538,98,130
153,bayleef,grass,none,"['leaf guard', 'overgrow']",60,62,80,63,80,60,405,67.5,8.902246907382429,2.0,Medium Slow,1059860,0.0,45,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,15.8,11.0,11.0,0.775,125,160
154,meganium,grass,none,"['leaf guard', 'overgrow']",80,82,100,83,100,80,525,87.5,8.902246907382429,2.0,Medium Slow,1059860,1.0,45,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.8,100.5,31.0,31.0,0.82,165,200
155,cyndaquil,fire,none,"['blaze', 'flash fire']",39,52,43,60,50,65,309,51.5,8.995369179009089,2.0,Medium Slow,1059860,0.0,45,0.0,0.0,0.0,0.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0.5,7.9,31.6,31.6,1.2093023255813953,112,93
156,quilava,fire,none,"['blaze', 'flash fire']",58,64,58,80,65,80,405,67.5,9.233092656309694,2.0,Medium Slow,1059860,0.0,45,0.0,0.0,0.0,0.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,0.9,19.0,23.5,23.5,1.103448275862069,144,123
157,typhlosion,fire,none,"['blaze', 'flash fire']",78,84,78,109,85,100,534,89.0,11.575836902790224,2.0,Medium Slow,1059860,1.0,45,0.0,0.0,0.0,0.0,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5,1.7,79.5,27.5,27.5,1.0769230769230769,193,163
158,totodile,water,none,"['sheer force', 'torrent']",50,65,64,44,48,43,314,52.333333333333336,8.919392106839767,2.0,Medium Slow,1059860,0.0,45,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6,9.5,26.4,26.4,1.015625,109,112
159,croconaw,water,none,"['sheer force', 'torrent']",65,80,80,59,63,58,405,67.5,9.142392101268316,2.0,Medium Slow,1059860,0.0,45,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.1,25.0,20.7,20.7,1.0,139,143
160,feraligatr,water,none,"['sheer force', 'torrent']",85,105,100,79,83,78,530,88.33333333333333,10.386957633921922,2.0,Medium Slow,1059860,1.0,45,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2.3,88.8,16.8,16.8,1.05,184,183
161,sentret,normal,none,"['frisk', 'keen eye', 'run away']",35,46,34,35,45,20,215,35.833333333333336,8.591015979239915,2.0,Medium Fast,1000000,0.0,255,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8,6.0,9.4,9.4,1.3529411764705883,81,79
162,furret,normal,none,"['frisk', 'keen eye', 'run away']",85,76,64,45,55,90,415,69.16666666666667,16.035550782211658,2.0,Medium Fast,1000000,1.0,90,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.8,32.5,10.0,10.0,1.1875,121,119
163,hoothoot,normal,flying,"['insomnia', 'keen eye', 'tinted lens']",60,30,30,36,56,50,262,43.66666666666666,12.188336865854811,2.0,Medium Fast,1000000,0.0,255,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,0.7,21.2,43.3,43.3,1.0,66,86
164,noctowl,normal,flying,"['insomnia', 'keen eye', 'tinted lens']",100,50,50,86,96,70,452,75.33333333333333,20.253943374617748,2.0,Medium Fast,1000000,1.0,90,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,1.0,0.5,2.0,0.0,1.0,1.0,1.0,1.0,1.6,40.8,15.9,15.9,1.0,136,146
165,ledyba,bug,flying,"['early bird', 'rattled', 'swarm']",40,20,30,40,80,55,265,44.16666666666666,19.238993967692,2.0,Fast,800000,0.0,255,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,1.0,10.8,10.8,10.8,0.6666666666666666,60,110
166,ledian,bug,flying,"['early bird', 'iron fist', 'swarm']",55,35,50,55,110,85,390,65.0,25.0,2.0,Fast,800000,1.0,90,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,1.4,35.6,18.2,18.2,0.7,90,160
167,spinarak,bug,poison,"['insomnia', 'sniper', 'swarm']",40,60,40,40,40,30,250,41.66666666666666,8.975274678557506,2.0,Fast,800000,0.0,255,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,0.5,8.5,34.0,34.0,1.5,100,80
168,ariados,bug,poison,"['insomnia', 'sniper', 'swarm']",70,90,70,60,70,40,400,66.66666666666667,14.907119849998598,2.0,Fast,800000,1.0,90,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.25,1.0,0.25,0.5,1.0,2.0,2.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5,1.1,33.5,27.7,27.7,1.2857142857142858,150,140
169,crobat,poison,flying,"['infiltrator', 'inner focus']",85,90,80,70,80,130,535,89.16666666666667,19.238993967692,2.0,Medium Fast,1000000,1.0,90,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.25,2.0,0.25,0.5,0.0,1.0,2.0,0.25,2.0,1.0,1.0,1.0,1.0,0.5,1.8,75.0,23.1,23.1,1.125,160,160
170,chinchou,water,electric,"['illuminate', 'volt absorb', 'water absorb']",75,38,38,56,56,67,330,55.0,13.686976778431871,2.0,Slow,1250000,0.0,190,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,2.0,0.5,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.5,12.0,48.0,48.0,1.0,94,94
171,lanturn,water,electric,"['illuminate', 'volt absorb', 'water absorb']",125,58,58,76,76,67,460,76.66666666666667,22.830291768223688,2.0,Slow,1250000,1.0,75,0.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,2.0,0.5,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.2,22.5,15.6,15.6,1.0,134,134
172,pichu,electric,none,"['lightning rod', 'static']",20,40,15,35,35,60,205,34.166666666666664,14.55354099714415,2.0,Medium Fast,1000000,0.0,190,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.3,2.0,22.2,22.2,2.6666666666666665,75,50
173,cleffa,fairy,none,"['cute charm', 'friend guard', 'magic guard']",50,25,28,45,55,15,218,36.333333333333336,14.510532573119276,2.0,Fast,800000,0.0,150,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,0.3,3.0,33.3,33.3,0.8928571428571429,70,83
174,igglybuff,normal,fairy,"['competitive', 'cute charm', 'friend guard']",90,30,15,40,20,15,210,35.0,26.140645235596867,2.0,Fast,800000,0.0,170,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5,2.0,1.0,0.3,1.0,11.1,11.1,2.0,70,35
175,togepi,fairy,none,"['hustle', 'serene grace', 'super luck']",35,20,65,40,65,20,245,40.833333333333336,18.57791400800663,2.0,Fast,800000,0.0,190,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0,0.3,1.5,16.7,16.7,0.3076923076923077,60,130
176,togetic,fairy,flying,"['hustle', 'serene grace', 'super luck']",55,40,85,80,105,40,405,67.5,24.28133714055577,2.0,Fast,800000,0.0,75,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.5,2.0,0.25,2.0,0.0,1.0,1.0,0.25,2.0,1.0,0.0,0.5,2.0,1.0,0.6,3.2,8.9,8.9,0.47058823529411764,120,190
177,natu,psychic,flying,"['early bird', 'magic bounce', 'synchronize']",40,50,45,70,45,70,320,53.333333333333336,12.133516482134198,2.0,Medium Fast,1000000,0.0,190,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.5,2.0,0.25,1.0,0.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.2,2.0,50.0,50.0,1.1111111111111112,120,90
178,xatu,psychic,flying,"['early bird', 'magic bounce', 'synchronize']",65,75,70,95,70,95,470,78.33333333333333,12.133516482134198,2.0,Medium Fast,1000000,1.0,75,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.5,2.0,0.25,1.0,0.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.5,15.0,6.7,6.7,1.0714285714285714,170,140
179,mareep,electric,none,"['plus', 'static']",55,40,40,65,45,35,280,46.66666666666666,10.274023338281628,2.0,Medium Slow,1059860,0.0,235,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.6,7.8,21.7,21.7,1.0,105,85
180,flaaffy,electric,none,"['plus', 'static']",70,55,55,80,60,45,365,60.833333333333336,11.334558757279536,2.0,Medium Slow,1059860,0.0,120,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.8,13.3,20.8,20.8,1.0,135,115
181,ampharos,electric,none,"['plus', 'static']",90,75,85,115,90,55,510,85.0,18.027756377319943,2.0,Medium Slow,1059860,1.0,45,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.4,61.5,31.4,31.4,0.8823529411764706,190,175
181,mega_ampharos,electric,dragon,['mold breaker'],90,95,105,165,110,45,610,101.66666666666669,35.31603350069515,6.0,Medium Slow,1059860,1.0,45,0.0,1.0,0.0,0.0,1.0,0.5,0.5,0.25,0.5,2.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,0.5,2.0,1.4,61.5,31.4,31.4,0.9047619047619048,260,215
182,bellossom,grass,none,"['chlorophyll', 'healer']",75,80,95,90,100,50,490,81.66666666666667,16.499158227686106,2.0,Medium Slow,1059860,1.0,45,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,5.8,36.3,36.3,0.8421052631578947,170,195
183,marill,water,fairy,"['huge power', 'sap sipper', 'thick fat']",70,20,50,20,50,40,250,41.66666666666666,17.716909687891082,2.0,Fast,800000,0.0,190,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,0.4,8.5,53.1,53.1,0.4,40,100
184,azumarill,water,fairy,"['huge power', 'sap sipper', 'thick fat']",100,50,80,60,80,50,420,70.0,18.257418583505537,2.0,Fast,800000,1.0,75,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,0.8,28.5,44.5,44.5,0.625,110,160
185,sudowoodo,rock,none,"['rattled', 'rock head', 'sturdy']",70,100,115,30,65,30,410,68.33333333333333,31.97221015541813,2.0,Medium Fast,1000000,1.0,65,0.0,0.0,0.0,0.0,0.5,0.5,2.0,1.0,2.0,1.0,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.2,38.0,26.4,26.4,0.8695652173913043,130,180
186,politoed,water,none,"['damp', 'drizzle', 'water absorb']",90,75,75,90,100,70,500,83.33333333333333,10.671873729054749,2.0,Medium Slow,1059860,1.0,45,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.1,33.9,28.0,28.0,1.0,165,175
187,hoppip,grass,flying,"['chlorophyll', 'infiltrator', 'leaf guard']",35,35,40,35,55,50,250,41.66666666666666,7.993052538854533,2.0,Medium Slow,1059860,0.0,255,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,0.25,4.0,0.5,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.4,0.5,3.1,3.1,0.875,70,95
188,skiploom,grass,flying,"['chlorophyll', 'infiltrator', 'leaf guard']",55,45,50,45,65,80,340,56.66666666666666,12.47219128924647,2.0,Medium Slow,1059860,0.0,120,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,0.25,4.0,0.5,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,2.8,2.8,0.9,90,115
189,jumpluff,grass,flying,"['chlorophyll', 'infiltrator', 'leaf guard']",75,55,70,55,95,110,460,76.66666666666667,20.13840995599095,2.0,Medium Slow,1059860,1.0,45,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,0.25,4.0,0.5,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.8,3.0,4.7,4.7,0.7857142857142857,110,165
190,aipom,normal,none,"['pickup', 'run away', 'skill link']",55,70,55,40,55,85,360,60.0,14.142135623730953,2.0,Fast,800000,0.0,45,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8,11.5,18.0,18.0,1.2727272727272727,110,110
191,sunkern,grass,none,"['chlorophyll', 'early bird', 'solar power']",30,30,30,30,30,30,180,30.0,0.0,2.0,Medium Slow,1059860,0.0,235,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3,1.8,20.0,20.0,1.0,60,60
192,sunflora,grass,none,"['chlorophyll', 'early bird', 'solar power']",75,75,55,105,85,30,425,70.83333333333333,23.52599035582184,2.0,Medium Slow,1059860,1.0,120,0.0,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,8.5,13.3,13.3,1.3636363636363635,180,140
193,yanma,bug,flying,"['frisk', 'speed boost']",65,65,45,75,45,95,390,65.0,17.320508075688775,2.0,Medium Fast,1000000,0.0,75,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.25,2.0,0.25,1.0,0.0,2.0,1.0,0.5,4.0,1.0,1.0,1.0,1.0,1.0,1.2,38.0,26.4,26.4,1.4444444444444444,140,90
194,wooper,water,ground,"['damp', 'unaware', 'water absorb']",55,45,45,25,25,15,210,35.0,14.142135623730953,2.0,Medium Fast,1000000,0.0,255,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.4,8.5,53.1,53.1,1.0,70,70
195,quagsire,water,ground,"['damp', 'unaware', 'water absorb']",95,85,85,65,65,35,430,71.66666666666667,19.72026594366539,2.0,Medium Fast,1000000,1.0,90,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.4,75.0,38.3,38.3,1.0,150,150
196,espeon,psychic,none,"['magic bounce', 'synchronize']",65,65,60,130,95,110,525,87.5,26.25991876098121,2.0,Medium Fast,1000000,1.0,45,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.9,26.5,32.7,32.7,1.0833333333333333,195,155
197,umbreon,dark,none,"['inner focus', 'synchronize']",95,65,110,60,130,65,525,87.5,26.25991876098121,2.0,Medium Fast,1000000,1.0,45,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,1.0,27.0,27.0,27.0,0.5909090909090909,125,240
198,murkrow,dark,flying,"['insomnia', 'prankster', 'super luck']",60,85,42,85,42,91,405,67.5,20.5,2.0,Medium Slow,1059860,0.0,30,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.5,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,1.0,2.0,0.5,2.1,8.4,8.4,2.0238095238095237,170,84
199,slowking,water,psychic,"['oblivious', 'own tempo', 'regenerator']",95,75,80,100,110,30,490,81.66666666666667,25.92724864350674,2.0,Medium Fast,1000000,1.0,70,0.0,0.0,0.0,0.0,1.0,0.5,0.5,2.0,2.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,0.5,1.0,2.0,79.5,19.9,19.9,0.9375,175,190
199,galarian_slowking,poison,psychic,"['curious medicine', 'own tempo', 'regenerator']",95,65,80,110,110,30,490,81.66666666666667,28.08716591058786,8.0,Medium Fast,1000000,1.0,70,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.25,0.5,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.8,79.5,24.5,24.5,0.8125,175,190
200,misdreavus,ghost,none,['levitate'],60,60,60,85,85,85,435,72.5,12.5,2.0,Fast,800000,0.0,45,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0,0.7,1.0,2.0,2.0,1.0,145,145
201,unown,psychic,none,['levitate'],48,72,48,72,48,48,336,56.0,11.31370849898476,2.0,Medium Fast,1000000,1.0,225,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,5.0,20.0,20.0,1.5,144,96
202,wobbuffet,psychic,none,"['shadow tag', 'telepathy']",190,33,58,33,58,33,405,67.5,55.9128786595718,2.0,Medium Fast,1000000,1.0,45,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.3,28.5,16.9,16.9,0.5689655172413793,66,116
203,girafarig,normal,psychic,"['early bird', 'inner focus', 'sap sipper']",70,80,65,90,65,85,455,75.83333333333333,9.753916592266354,2.0,Medium Fast,1000000,1.0,60,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.5,41.5,18.4,18.4,1.2307692307692308,170,130
204,pineco,bug,none,"['overcoat', 'sturdy']",50,65,90,35,35,15,290,48.333333333333336,24.09472049133493,2.0,Medium Fast,1000000,0.0,190,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.6,7.2,20.0,20.0,0.7222222222222222,100,125
205,forretress,bug,steel,"['overcoat', 'sturdy']",75,90,140,60,60,40,465,77.5,31.85252475602732,2.0,Medium Fast,1000000,1.0,75,0.0,0.0,0.0,0.0,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,1.2,125.8,87.4,87.4,0.6428571428571429,150,200
206,dunsparce,normal,none,"['rattled', 'run away', 'serene grace']",100,70,70,65,65,45,415,69.16666666666667,16.18040653245633,2.0,Medium Fast,1000000,1.0,190,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.5,14.0,6.2,6.2,1.0,135,135
207,gligar,ground,flying,"['hyper cutter', 'immunity', 'sand veil']",65,75,105,35,65,85,430,71.66666666666667,21.34374745810949,2.0,Medium Slow,1059860,0.0,60,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,4.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.1,64.8,53.6,53.6,0.7142857142857143,110,170
